DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;FX_ETARIA;NOME_ANT;LATITUDE;LONGITUDE;DATABASE
SA;264;EMEF;SYLVIO HECK, ALM.;SYLVIO HECK, ALM.;;SANTO AMARO;CIDADE ADEMAR;RUA PEDRO NOGUEIRA DE PAZES;199;JARDIM ITAPURA;4433010;56110316;56123503;;Ativa;PEDREIRA;58;5802;35098541;35098541;1,631E+14;;05/07/1988;26.313;04/07/1988;;16/03/1991;;;JARDIM ITAPURA;-23688879;-46658865;25/12/2023
CL;281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;VERA LUCIA FUSCO BORBA, PROFA.;;CAMPO LIMPO;CAMPO LIMPO;RUA MARTINHO LUTERO;375;JARDIM CAMPO LIMPO;5785180;58416595;58422424;;Ativa;CAMPO LIMPO;17;1701;35098607;35098607;1,622E+14;;12/08/1988;26.617;12/08/1988;;09/03/1991;;;;-23624880;-46767503;25/12/2023
FO;299;EMEF;ROBERTO PATRICIO, PROF.;ROBERTO PATRICIO, PROF.;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA ANTONIO DOMINGUES FREITAS;147;VILA AMELIA;2615020;22586078;;;Ativa;CACHOEIRINHA;13;1304;35098358;35098358;1,624E+14;;12/08/1988;26.616;12/08/1988;;16/03/1991;;;VILA AMELIA;-23471774;-46654797;25/12/2023
JT;302;EMEF;HELIO FRANCO CHAVES, CEL.;HELIO FRANCO CHAVES, CEL.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA KOTINDA;1343;JARDIM CORISCO;2365010;29952513;29927707;;Ativa;TREMEMBE;81;8103;35098371;35098371;1,628E+14;;;;;;16/03/1991;;;;-23428244;-46582907;25/12/2023
CL;311;EMEF;ANTONIO ALVES DA SILVA, SG.;ANTONIO ALVES DA SILVA, SG.;;CAMPO LIMPO;CAMPO LIMPO;RUA GARCIA DE ORTA;36;PARQUE INDEPENDÊNCIA;5880290;58737928;58726507;;Ativa;CAPAO REDONDO;19;1907;35098632;35098632;1,622E+14;;16/09/1988;26.916;16/09/1988;;09/03/1991;;;;-23683548;-46789733;25/12/2023
PE;329;EMEBS;NEUSA BASSETTO, PROFA.;NEUSA BASSETTO, PROFA.;;PENHA;MOOCA;RUA TAQUARI;549;MOOCA;3166000;26946923;;26946923;Ativa;MOOCA;53;5302;35079017;35079017;1,629E+14;;22/06/1988;26.230;22/06/1988;;16/03/1991;;;NEUSA BASSETO, PROFA.;-23551158;-46598281;25/12/2023
JT;337;EMEBS;LUCIE BRAY, ME;LUCIE BRAY, ME;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA SÃO GERALDINO;236;VILA CONSTANCA;2258220;22405315;22401005;;Ativa;JACANA;39;3904;35079042;35079042;1,628E+14;;;;;;16/03/1991;;;LUCIE BRAY, ME.;-23475348;-46581312;25/12/2023
SA;388;EMEI;RAUL JOVIANO DO AMARAL;RAUL JOVIANO DO AMARAL;;SANTO AMARO;CIDADE ADEMAR;RUA VALENTINO FIORAVANTI;128;JARDIM RUBILENE;4475380;56740025;;56741631;Ativa;PEDREIRA;58;5803;35098553;35098553;1,631E+14;;16/09/1988;26.917;16/09/1988;;16/03/1991;;;;-23702963;-46636134;25/12/2023
SA;418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;JOAO DE SOUZA FERRAZ, PROF.;;SANTO AMARO;SANTO AMARO;RUA RAFAEL CORREIA SAMPAIO;291;JARDIM PALMARES;4457100;56114691;56155200;;Ativa;CAMPO GRANDE;16;1604;35098536;35098536;1,631E+14;;15/10/1988;27.109;14/10/1988;;16/03/1991;;;;-23689499;-46675494;25/12/2023
SM;426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;CELIA CAMARGO PENTEADO ELIAS, PROFA.;;SAO MATEUS;SAO MATEUS;RUA JOSE VIEIRA DO RIO;257;PARQUE SAO RAFAEL;8320120;20196061;;20153216;Ativa;SAO RAFAEL;75;7501;35098747;35098747;1,632E+14;;14/10/1988;27.113;14/10/1988;;16/03/1991;;;;-23629017;-46475580;25/12/2023
PJ;434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;CLEMENTE SEGUNDO PINHO, PROF.;;PIRITUBA;PIRITUBA;RUA VIRGINIA GALILEI;100;JARDIM IPANEMA;5187060;39410593;39454203;;Ativa;JARAGUA;42;4203;35098437;35098437;1,63E+14;;19/10/1988;27.168;19/10/1988;;13/03/2001;;;;-23444008;-46750245;25/12/2023
IP;442;EMEI;ANTONIO RUBBO MULLER, PROF.;ANTONIO RUBBO MULLER, PROF.;;IPIRANGA;VILA PRUDENTE;RUA CARMINHA;123;PARQUE SAO LUCAS;3240040;29187032;;;Ativa;SAO LUCAS;72;7202;35098693;35098693;1,626E+14;;26/10/1988;27.209;26/10/1988;;16/03/1991;;;JTO A EMPG AUREA RIBEIRO XAVIER LOPES, PROF.;-23598841;-46544618;25/12/2023
PJ;451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;MARIA DO CARMO GODOY RAMOS, PROFA.;;PIRITUBA;PIRITUBA;RUA MIGUEL PEREIRA LANDIM;193;JARDIM JARAGUA;5158000;39049242;39067053;39067053;Ativa;SAO DOMINGOS;95;9501;35098449;35098449;1,63E+14;;26/10/1988;27.210;26/10/1988;;13/03/2001;;;JARDIM JARAGUA, ANEXA A EMPG HENRIQUE GEISEL;-23489533;-46756681;25/12/2023
PJ;469;EMEI;RODOLFO TREVISAN;RODOLFO TREVISAN;;PIRITUBA;LAPA;RUA SILVA AIROSA;60;VILA RIBEIRO DE BARROS;5307040;38365027;;36415262;Ativa;VILA LEOPOLDINA;88;8801;35098516;35098516;1,63E+14;;26/10/1988;27.211;26/10/1988;;13/03/2001;;;JARDIM HUMAITA;-23519917;-46741859;25/12/2023
BT;477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;EDA TEREZINHA CHICA MEDEIROS, PROFA.;;BUTANTA;BUTANTA;RUA ENGENHEIRO HUGO TAKAHASHI;333;RAPOSO TAVARES;5563120;37820714;;;Ativa;RAPOSO TAVARES;65;6504;35098474;35098474;1,621E+14;;26/10/1988;27.212;26/10/1988;;16/03/1991;;;JARDIM EDUCANDARIO;-23602076;-46783825;25/12/2023
PE;485;EMEF;ASSAD ABDALA;ASSAD ABDALA;;PENHA;PENHA;AVENIDA MENDONCA DRUMOND;902;JARDIM MARINGÁ;3524030;27811729;27812502;;Ativa;VILA MATILDE;91;9103;35098668;35098668;1,629E+14;;27/10/1988;27.213;26/10/1988;;13/12/1995;;;;-23553203;-46517809;25/12/2023
CS;493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;AURELIO BUARQUE DE HOLANDA FERREIRA;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA DOUTOR ARMANDO FAJARDO;400;JARDIM SÃO BERNARDO;4844590;59394789;59287612;;Ativa;GRAJAU;30;3003;35066312;35066312;1,623E+14;;18/11/1988;27.340;18/11/1988;;13/03/2001;;;JARDIM SAO BERNARDO / JARDIM PETRONITA;-23756392;-46702787;25/12/2023
CS;531;EMEI;MARIA EUGENIA FAKHOURY;MARIA EUGENIA FAKHOURY;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA CONSTELACAO DO ERIDANO;200;JARDIM CAMPINAS;4858580;55263674;55275656;;Ativa;GRAJAU;30;3004;35066291;35066291;1,623E+14;;25/11/1988;27.370;25/11/1988;;16/03/1991;;;;-23771399;-46705051;25/12/2023
PJ;540;EMEF;RAUL POMPEIA;RAUL POMPEIA;;PIRITUBA;PIRITUBA;AVENIDA ELIAS ANTONIO LOPES;165;PARQUE DE TAIPAS;2986110;39415771;39415024;;Ativa;JARAGUA;42;4208;35066266;35066266;1,63E+14;;25/11/1988;27.369;25/11/1988;;16/03/1991;;;;-23433769;-46713867;25/12/2023
CL;566;EMEF;TERESA MARGARIDA DA SILVA E ORTA;TERESA MARGARIDA DA SILVA E ORTA;;CAMPO LIMPO;M'BOI MIRIM;RUA ENGENHEIRO MILTON DE ALVARENGA PEIXOTO;20;VILA GILDA;4953040;55170577;58999876;;Ativa;JARDIM ANGELA;43;4309;35066308;35066308;1,622E+14;;09/12/1988;27.469;09/12/1988;;07/11/1992;;;;-23722201;-46757039;25/12/2023
CL;574;EMEI;ORLANDO DE ALVARENGA GAUDIO, PROF.;ORLANDO DE ALVARENGA GAUDIO, PROF.;;CAMPO LIMPO;M'BOI MIRIM;RUA ANTÔNIO ELIAS SCHOUERI;142;PARQUE DO LAGO;4945005;55171008;55170848;;Ativa;JARDIM ANGELA;43;4306;35066285;35066285;1,622E+14;;09/12/1988;27.470;09/12/1988;;07/11/1992;;;;-23715175;-46779841;25/12/2023
SM;892;EMEF;HENRIQUE SOUZA FILHO - HENFIL;HENRIQUE SOUZA FILHO - HENFIL;;SAO MATEUS;SAO MATEUS;RUA ÉRICO SEMER;S/N   ;JARDIM MARILU;8371400;27312097;27313204;;Ativa;IGUATEMI;33;3303;35066734;35066734;1,632E+14;;05/06/1989;27.809;05/06/1989;;07/11/1992;;;;-23598559;-46423164;25/12/2023
G;8834;EMEF;IDEMIA DE GODOY, PROFA.;IDEMIA DE GODOY, PROFA.;;GUAIANASES;GUAIANASES;RUA ANDES;807;GUAIANAZES;8440180;25571945;25544580;;Ativa;LAJEADO;96;9605;35068718;35068718;1,625E+14;;30/03/1990;28.629;30/03/1990;;07/11/1992;;;CHABILANDIA II;-23536549;-46406522;25/12/2023
IQ;8842;EMEF;SEBASTIAO FRANCISCO, O NEGRO;SEBASTIAO FRANCISCO, O NEGRO;;ITAQUERA;ITAQUERA;RUA ONOFRE JORGE VELHO;260;CIDADE LIDER;8280330;27481131;27493651;;Ativa;PARQUE DO CARMO;57;5703;35068697;35068697;1,627E+14;;30/03/1990;28.628;30/03/1990;;07/11/1992;;;CIDADE LIDER I;-23560774;-46469597;25/12/2023
G;9130;EMEI;OLGA BENARIO PRESTES;OLGA BENARIO PRESTES;;GUAIANASES;CIDADE TIRADENTES;RUA IGARAPE FARTURA;195;COHAB INACIO MONTEIRO;8472400;25552615;25554188;25552615;Ativa;CIDADE TIRADENTES;25;2501;35068724;35068724;1,625E+14;;03/08/1990;28.908;03/08/1990;;07/11/1992;;;CONJ. HABITACIONAL INACIO MONTEIRO;-23572595;-46401801;25/12/2023
G;9148;EMEF;ALEXANDRE VANNUCHI LEME;ALEXANDRE VANNUCHI LEME;;GUAIANASES;CIDADE TIRADENTES;RUA IGARAPE DA DIANA;60;COHAB INACIO MONTEIRO;8472170;25554046;25555119;;Ativa;CIDADE TIRADENTES;25;2501;35068706;35068706;1,625E+14;;03/08/1990;28.909;03/08/1990;;07/11/1992;;;CONJUNTO HABITACIONAL INACIO MONTEIRO I;-23572339;-46403721;25/12/2023
G;9156;EMEF;LUIS CARLOS PRESTES, SEN.;LUIS CARLOS PRESTES, SEN.;;GUAIANASES;CIDADE TIRADENTES;RUA IGARAPE GUARA;90;CONJUNTO HABITACIONAL INACIO MONTEIRO;8472120;25552118;25552095;;Ativa;CIDADE TIRADENTES;25;2501;35068731;35068731;1,625E+14;;03/08/1990;28.911;03/08/1990;;07/11/1992;;;CONJ. HABITACIONAL INACIO MONTEIRO II;-23570358;-46399528;25/12/2023
JT;9270;EMEI;DINA KUTNER DE SOUZA - DINA SFAT;DINA KUTNER DE SOUZA - DINA SFAT;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA MANUEL ARAUJO ARAGAO;317;JARDIM SANTO ALBERTO;2356170;22035927;;22044883;Ativa;TREMEMBE;81;8106;35068652;35068652;1,628E+14;;22/08/1990;28.978;22/08/1990;;07/11/1992;;;VILA ALBERTINA;-23449273;-46609579;25/12/2023
PJ;9326;EMEF;IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.;IRENE GARCIA COSTA DE SOUZA, PROFA. DRA.;;PIRITUBA;PIRITUBA;RUA GONCALO ALDANA;385;VILA HOMERO;5184300;39411906;39281920;;Ativa;JARAGUA;42;4201;35068639;35068639;1,63E+14;;05/09/1990;29.012;05/09/1990;;13/03/2001;;;VILA HOMERO;-23451038;-46758412;25/12/2023
JT;9911;EMEI;SAVA POPOVIC;SAVA POPOVIC;;JACANA/TREMEMBE;SANTANA/TUCURUVI;RUA FRIBURGO;12;LAUZANE PAULISTA;2440000;22318002;22323509;;Ativa;MANDAQUI;51;5102;35068640;35068640;1,628E+14;;09/10/1990;29.102;09/10/1990;;07/11/1992;;;LAUZANE PAULISTA;-23476071;-46645720;25/12/2023
IP;9971;EMEF;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;;IPIRANGA;IPIRANGA;ESTRADA DAS LÁGRIMAS;1029;IPIRANGA;4232000;22731677;22155789;;Ativa;SACOMA;68;6801;35068767;35068767;1,626E+14;;16/11/1990;29.320;16/11/1990;;23/10/1992;;;HELIOPOLIS;-23610461;-46595210;25/12/2023
IP;9989;EMEI;OTAVIO JOSE DA SILVA JUNIOR;OTAVIO JOSE DA SILVA JUNIOR;;IPIRANGA;IPIRANGA;RUA DA FANTASIA;27;CIDADE NOVA HELIÓPOLIS;4236190;22157099;;22732456;Ativa;SACOMA;68;6801;35068755;35068755;1,626E+14;;16/11/1990;29.319;16/11/1990;;23/10/1992;;;HELIOPOLIS;-23610929;-46594880;25/12/2023
MP;10049;EMEF;CHICO FALCONI, PE.;CHICO FALCONI, PE.;;SAO MIGUEL;ITAIM PAULISTA;RUA BRILHO DO SOL;96;JARDIM BARTIRA;8152110;25615022;;;Ativa;VILA CURUCA;84;8407;35068676;35068676;1,633E+14;;14/12/1990;29.429;14/12/1990;;13/03/2001;;;;-23513925;-46403226;25/12/2023
IQ;10103;EMEF;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;;ITAQUERA;ITAQUERA;RUA QUINTINO DA CUNHA;22;JARDIM MARÍLIA;3579160;22545373;22545615;;Ativa;CIDADE LIDER;24;2405;35068664;35068664;1,627E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;VILA MATILDE;-23561994;-46495650;25/12/2023
SA;10111;EMEF;MARIO SCHENBERG, PROF.;MARIO SCHENBERG, PROF.;;SANTO AMARO;CIDADE ADEMAR;RUA PAPA GREGORIO MAGNO;133;VILA MISSIONARIA;4430130;56115719;;56115719;Ativa;PEDREIRA;58;5802;35068792;35068792;1,631E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;SANTO AMARO I;-23690562;-46650371;25/12/2023
SA;10120;EMEF;CARLOS AUGUSTO DE QUEIROZ ROCHA;CARLOS AUGUSTO DE QUEIROZ ROCHA;;SANTO AMARO;CIDADE ADEMAR;AVENIDA SANTO AFONSO;775;JARDIM MIRIAM;4426000;56252666;56221181;;Ativa;CIDADE ADEMAR;22;2205;35068809;35068809;1,631E+14;;01/02/1991;29.506;01/02/1991;;13/03/2001;;;SANTO AMARO II;-23681579;-46644957;25/12/2023
SA;10138;EMEF;ELZA MAIA COSTA FREIRE, PROFA.;ELZA MAIA COSTA FREIRE, PROFA.;;SANTO AMARO;CIDADE ADEMAR;RUA DO ESPIGAO;195;CIDADE ADEMAR;4405190;56773510;55655928;;Ativa;CIDADE ADEMAR;22;2203;35068810;35068810;1,631E+14;;01/02/1991;29.506;01/02/1991;;13/03/2001;;;SANTO AMARO III;-23673298;-46658543;25/12/2023
CL;10146;EMEF;MARIA RITA LOPES PONTES - IRMA DULCE;MARIA RITA LOPES PONTES - IRMA DULCE;;CAMPO LIMPO;CAMPO LIMPO;RUA VITORIANO PALHARES;10;JARDIM AMALIA;5890320;58240917;58214205;;Ativa;CAPAO REDONDO;19;1906;35068779;35068779;1,622E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;CAMPO LIMPO I;-23667435;-46793313;25/12/2023
CL;10154;EMEF;MAURO FACCIO GONCALVES - ZACARIA;MAURO FACCIO GONCALVES - ZACARIA;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA RAQUEL ALVES MOREIRA;823;PARQUE SANTO ANTÔNIO;5821130;58946725;55143131;;Ativa;JARDIM SAO LUIS;46;4603;35068822;35068822;1,622E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;CAMPO LIMPO II;-23667809;-46748594;25/12/2023
CL;10162;EMEF;LORENCO MANOEL SPARAPAN, PROF.;LORENCO MANOEL SPARAPAN, PROF.;;CAMPO LIMPO;M'BOI MIRIM;RUA HOLDA BOTTO MALANCONI;431;JARDIM DUPRAT;5853310;55120884;55139183;;Ativa;JARDIM SAO LUIS;46;4603;35068834;35068834;1,622E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;CAMPO LIMPO III;-23657215;-46753477;25/12/2023
PJ;10171;EMEF;ALDO RIBEIRO LUZ, PROF.;ALDO RIBEIRO LUZ, PROF.;;PIRITUBA;PIRITUBA;RUA JEAN CORALLI;135;JARDIM SANTA LUCRECIA;5183000;39415008;39412335;39415008;Ativa;JARAGUA;42;4204;35068627;35068627;1,63E+14;;01/02/1991;29.506;01/02/1991;;07/11/1992;;;JARAGUA;-23451604;-46752730;25/12/2023
MP;10405;EMEF;NILDO DO AMARAL JUNIOR, PE.;NILDO DO AMARAL JUNIOR, PE.;;SAO MIGUEL;ITAIM PAULISTA;RUA ANTONIO JOAO DE MEDEIROS;1901;JARDIM CAMARGO VELHO;8140060;25674538;29638497;;Ativa;ITAIM PAULISTA;36;3608;35068688;35068688;1,633E+14;;22/02/1991;29.533;22/02/1991;;13/03/2001;;;CONJ. HABITACIONAL ITAIM;-23515209;-46393933;25/12/2023
G;10413;EMEF;QUIRINO CARNEIRO RENNO, PROF.;QUIRINO CARNEIRO RENNO, PROF.;;GUAIANASES;GUAIANASES;RUA CAMARGO E LEME;78;VILA SAO GERALDO;8460480;25571974;;25579181;Ativa;GUAIANASES;31;3103;35068743;35068743;1,625E+14;;22/02/1991;29.533;22/02/1991;;07/11/1992;;;JARDIM SAO GERALDO;-23554525;-46396781;25/12/2023
CL;10421;EMEF;CYRO ALBUQUERQUE, DEP.;CYRO ALBUQUERQUE, DEP.;;CAMPO LIMPO;CAMPO LIMPO;RUA ROGERIO DE PAULA BRITO;100;JARDIM SAO JANUARIO;5781310;55120952;;55136942;Ativa;CAPAO REDONDO;19;1903;35068780;35068780;1,622E+14;;22/02/1991;29.533;22/02/1991;;07/11/1992;;;CONJ. RESIDENCIAL CRUZEIRO DO SUL;-23650969;-46757719;25/12/2023
CL;10839;EMEI;CLARICE BENVINDA SANTOS SILVA, PROFA;CLARICE BENVINDA SANTOS SILVA, PROFA;;CAMPO LIMPO;M'BOI MIRIM;RUA ITAPAROQUERA;S/N   ;PARQUE SANTO AMARO;4932060;55146067;58911819;;Ativa;JARDIM ANGELA;43;4303;35076120;35076120;1,622E+14;;27/05/1991;29.772;27/05/1991;;07/11/1992;;;VILA REMO;-23678258;-46756379;25/12/2023
CL;10910;EMEI;RUBENS NASCIMENTO DA SILVA - MEXICANO;RUBENS NASCIMENTO DA SILVA - MEXICANO;;CAMPO LIMPO;CAMPO LIMPO;TRAVESSA SETEMBRO DE 1983;198;PARQUE FERNANDA;5887510;58215467;58248896;;Ativa;CAPAO REDONDO;19;1906;35076119;35076119;1,622E+14;;11/06/1991;29.812;11/06/1991;;07/11/1992;;;PARQUE FERNANDA;-23673720;-46796498;25/12/2023
SM;11045;EMEI;EDER SADER;EDER SADER;;SAO MATEUS;SAPOPEMBA;RUA SARGENTO HERMINIO AURELIO SAMPAIO;477;COHAB MARECHAL MASCARENHAS DE MORAIS;3977220;29191940;20153182;;Ativa;SAPOPEMBA;76;7605;35076156;35076156;1,632E+14;;02/08/1991;29.970;02/08/1991;;13/03/2001;;;CONJ. HABITACIONAL MASCARENHAS DE MORAES;-23617291;-46493786;25/12/2023
MP;11380;EMEI;ANTONIO ROBERTO ALVES BRAGA, DR.;ANTONIO ROBERTO ALVES BRAGA, DR.;;SAO MIGUEL;SAO MIGUEL;RUA DOS ESCOTEIROS;110;JARDIM DAS CAMELIAS;8050350;20517300;20523414;;Ativa;VILA JACUI;87;8706;35074640;35074640;1,633E+14;;31/08/1992;32.142;31/08/1992;;13/03/2001;;;JARDIM DAS CAMELIAS;-23511324;-46459989;25/12/2023
IP;11533;EMEF;FRANCISCO DA SILVEIRA BUENO, PROF.;FRANCISCO DA SILVEIRA BUENO, PROF.;;IPIRANGA;VILA PRUDENTE;RUA IGARAPÉ FLORES;19;VILA SÃO NICOLAU;3254330;21431555;;21431555;Ativa;SAO LUCAS;72;7203;35076144;35076144;1,626E+14;;27/11/1991;30.642;27/11/1991;;10/04/1981;;;CONJ. HABITACIONAL SAO NICOLAU;-23613144;-46532568;25/12/2023
MP;11541;EMEI;YOLANDA BASSI, PROFA.;YOLANDA BASSI, PROFA.;;SAO MIGUEL;SAO MIGUEL;RUA CARDEIRO;12;VILA SANTA INES;3812110;25460815;25470960;;Ativa;VILA JACUI;87;8702;35076168;35076168;1,633E+14;;04/12/1991;30.703;04/12/1991;;13/03/2001;;;VILA SANTA INES;-23493355;-46466421;25/12/2023
CL;11550;EMEI;PAULO ZINGG;PAULO ZINGG;;CAMPO LIMPO;CAMPO LIMPO;RUA DA SAFRA;360;COHAB INSTITUTO ADVENTISTA;5868040;58218054;58215644;;Ativa;CAPAO REDONDO;19;1905;35076193;35076193;1,622E+14;;04/12/1991;30.704;04/12/1991;;13/03/2001;;;CONJ. HABITACIONAL ADVENTISTA;-23669629;-46781085;25/12/2023
CS;11568;EMEI;JOSE ROSCHEL CHRISTI - JUCA ROCHA;JOSE ROSCHEL CHRISTI - JUCA ROCHA;;CAPELA DO SOCORRO;PARELHEIROS;RUA GENTIL SCHUNCK ROSCHEL;79;JARDIM NOVO PARELHEIROS;4890410;5921-9964;5926-1668;;Ativa;PARELHEIROS;55;5507;35076200;35076200;1,623E+14;;06/12/1991;30.716;06/12/1991;;13/03/2001;;;;-23830161;-46727026;25/12/2023
PE;11851;EMEF;ANALIA FRANCO BASTOS;ANALIA FRANCO BASTOS;;PENHA;MOOCA;AVENIDA ARISTON AZEVEDO;20;CATUMBI;3021020;26182100;26932197;;Ativa;BELEM;8;803;35076132;35076132;1,629E+14;;05/02/1992;31.184;05/02/1992;;13/12/1995;;;;-23527397;-46600161;25/12/2023
