DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
PE;94048;EMEF;ANTONIO VIEIRA, PE.;ANTONIO VIEIRA, PE.;;PENHA;PENHA;RUA ANTONINO BACAERI;171;JARDIM NORDESTE;3687060;20486864;22806566;22806566;Ativa;5;ARTUR ALVIM;505;35055136;55136;161074105000000;;07/12/1969;8.549;05/12/1969;;10/04/1981;;E.M. DO JARDIM NORDESTE;DIR;-23526375;-46485963;31/12/2010
PE;307301;ESC.PART.;APRENDENDO NO MUNDO ENCANTADO;APRENDENDO NO MUNDO ENCANTADO;;PENHA;PENHA;MARIA EUGÊNIA CELSO;27;PARQUE ARTUR ALVIM;3568050;;;;Ativa;5;ARTUR ALVIM;503;35383363;383363;;ZERO A 5A;24/06/2010;107;23/06/2010;;;;;PAR;-23542116;-46483437;31/12/2010
PE;306793;CR.P.CONV;AQUARELA;AQUARELA;;PENHA;PENHA;GABRIELA MISTRAL;636;PENHA DE FRANÇA;3701000;26424822;;26424822;Ativa;59;PENHA;5901;35304499;304499;;2A A 5A;;;;07/03/2007;;;;CON;-23517278;-46539236;31/12/2010
PE;307110;CR.P.CONV;AQUARELA II;AQUARELA II;;PENHA;PENHA;RODOVALHO JUNIOR;229;PENHA DE FRANÇA;3605000;20820222;;;Ativa;59;PENHA;5901;35433032;433032;;ZERO A 2 A;15/05/2009;2009.0.082;15/05/2009;15/05/2009;;;;CON;-23523573;-46551797;31/12/2010
PE;301167;ESC.PART.;ARCO IRIS COLEGIO;ARCO IRIS COLEGIO;;PENHA;MOOCA;RUA DOUTOR  ORNELAS;65;CANINDE;3029030;32283619;;;Ativa;56;PARI;;35164379;164379;;ZERO A 5 A;;;;;29/10/1999;;;PAR;0;0;31/12/2010
PE;307265;ESC.PART.;ARTE DE EDUCAR;ARTE DE EDUCAR;;PENHA;PENHA;DONA MATILDE;955;VILA ESPERANÇA;3647060;;;;Ativa;59;PENHA;5902;35443499;443499;;1A E 6 M A 5 A;08/05/2010;69;05/05/2010;;08/05/2010;;;PAR;-23540452;-46524618;31/12/2010
PE;307410;ESC.PART.;ARTE DE VIVER;ARTE DE VIVER;;PENHA;PENHA;RODOVALHO JUNIOR;329;PENHA DE FRANÇA;3605000;;;;Ativa;59;PENHA;5901;35383429;383429;;18 M A 5 A;11/11/2010;191;27/10/2010;;11/11/2010;;;PAR;-23522517;-46550729;31/12/2010
PE;94030;EMEF;ARTHUR ALVIM;ARTHUR ALVIM;;PENHA;PENHA;RUA DESEMBARGADOR ROCHA PORTELA;464;ARTUR ALVIM;3567000;29582051;29585837;29585837;Ativa;5;ARTUR ALVIM;502;35054793;54793;161074108000000;;19/10/1956;3.307;19/10/1956;;10/04/1981;;ESCOLA MASCULINA DE ARTHUR ALVIM;DIR;-23538219;-46493053;31/12/2010
PE;94153;EMEF;ARTHUR AZEVEDO;ARTHUR AZEVEDO;;PENHA;MOOCA;BUTUÍ;SN;TATUAPÉ;3065025;22954096;29419022;29419022;Ativa;80;TATUAPE;8001;35054355;54355;161074173000000;;17/09/1956;3.238;17/09/1956;;10/04/1981;;ESCOLA MISTA DO BELEM;DIR;-23539315;-46580302;31/12/2010
PE;500363;MOVA;ASS DE MUTUARIOS E MORADORES DA COHAB UNID I PE;ASS DE MUTUARIOS E MORADORES DA COHAB UNID I PE;;PENHA;PENHA;AVENIDA PADRE  ESTANISLAU DE CAMPOS;379;CONJ HABIT PADRE MANOEL DA NOBREGA;3590060;27465733;;;Ativa;5;ARTUR ALVIM;502;;;;;;;;21/06/2006;;;ASS DE MUTUARIOS E MORADORES DA COHAB UNID I;CON;-23546312;-46481055;31/12/2010
